feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,label
0.12,0.87,0.34,0.56,0.91,0.23,0.67,0.45,0
0.78,0.14,0.92,0.33,0.05,0.88,0.41,0.60,1
0.55,0.62,0.18,0.79,0.44,0.31,0.85,0.27,0
0.03,0.97,0.50,0.11,0.73,0.66,0.19,0.84,1
0.90,0.28,0.74,0.42,0.16,0.53,0.39,0.01,0
0.47,0.71,0.08,0.95,0.37,0.82,0.55,0.13,1
0.22,0.40,0.63,0.17,0.80,0.09,0.72,0.58,0
0.69,0.05,0.86,0.51,0.28,0.94,0.14,0.76,1
0.36,0.83,0.21,0.64,0.49,0.02,0.90,0.38,0
0.81,0.17,0.43,0.78,0.12,0.61,0.25,0.96,1
0.10,0.54,0.70,0.29,0.65,0.47,0.03,0.82,0
0.93,0.38,0.15,0.87,0.20,0.74,0.59,0.06,1
0.25,0.66,0.80,0.04,0.57,0.32,0.78,0.50,0
0.44,0.92,0.07,0.71,0.36,0.18,0.93,0.22,1
0.67,0.11,0.55,0.46,0.83,0.05,0.30,0.68,0
0.08,0.75,0.39,0.93,0.14,0.87,0.52,0.41,1
0.85,0.23,0.61,0.30,0.69,0.43,0.07,0.77,0
0.31,0.58,0.84,0.15,0.91,0.26,0.64,0.09,1
0.72,0.46,0.02,0.68,0.23,0.79,0.48,0.35,0
0.16,0.89,0.47,0.82,0.05,0.62,0.17,0.54,1
0.53,0.07,0.75,0.37,0.48,0.14,0.86,0.29,0
0.40,0.64,0.22,0.59,0.76,0.01,0.43,0.91,1
0.88,0.32,0.67,0.10,0.41,0.95,0.28,0.16,0
0.04,0.79,0.53,0.85,0.18,0.38,0.71,0.60,1
0.61,0.15,0.90,0.24,0.55,0.70,0.12,0.47,0
0.27,0.98,0.06,0.73,0.32,0.21,0.57,0.83,1
0.74,0.42,0.31,0.08,0.87,0.56,0.02,0.69,0
0.19,0.53,0.77,0.49,0.04,0.93,0.38,0.26,1
0.96,0.20,0.44,0.66,0.79,0.11,0.63,0.05,0
0.38,0.76,0.13,0.97,0.27,0.45,0.80,0.52,1
0.09,0.61,0.88,0.35,0.62,0.19,0.04,0.73,0
0.82,0.08,0.59,0.20,0.96,0.34,0.75,0.41,1
0.50,0.85,0.27,0.72,0.41,0.07,0.92,0.18,0
0.15,0.33,0.64,0.57,0.13,0.88,0.29,0.66,1
0.77,0.90,0.01,0.44,0.68,0.52,0.16,0.35,0
0.34,0.47,0.82,0.09,0.85,0.24,0.61,0.97,1
0.63,0.02,0.49,0.76,0.30,0.71,0.46,0.14,0
0.26,0.69,0.93,0.18,0.54,0.37,0.08,0.80,1
0.99,0.25,0.36,0.53,0.07,0.66,0.83,0.23,0
0.43,0.81,0.16,0.91,0.22,0.50,0.34,0.59,1
0.11,0.48,0.72,0.06,0.77,0.95,0.57,0.02,0
0.87,0.13,0.58,0.40,0.64,0.28,0.21,0.78,1
0.29,0.94,0.03,0.83,0.46,0.15,0.68,0.44,0
0.56,0.36,0.79,0.22,0.01,0.72,0.90,0.31,1
0.18,0.70,0.45,0.89,0.38,0.03,0.47,0.65,0
0.95,0.09,0.67,0.16,0.53,0.84,0.11,0.42,1
0.60,0.57,0.24,0.75,0.89,0.40,0.76,0.07,0
0.02,0.86,0.40,0.32,0.17,0.69,0.53,0.88,1
0.73,0.30,0.95,0.61,0.44,0.08,0.19,0.55,0
0.45,0.68,0.11,0.26,0.71,0.57,0.99,0.13,1
